repo_id,repo_name,organization,category,subcategory,popularity_tier,stars,forks,watchers,open_issues,closed_issues,open_pull_requests,merged_pull_requests,contributors_count,total_commits,primary_language,secondary_languages,framework_dependency,license_type,first_commit_date,last_commit_date,repo_age_days,is_actively_maintained,monthly_downloads,monthly_active_users,release_count,avg_issue_response_hours,code_size_kb,has_documentation,has_ci_cd,has_docker_support,has_unit_tests,has_changelog,has_arxiv_paper,has_live_demo,has_api,has_cli,has_gui,readme_quality,community_sentiment_score,package_manager,minimum_python_version,hardware_requirement,cloud_integration,repo_health_score
R00001,open-chat,ibm-research,MLOps & Infrastructure,Data Versioning,moderate,1121,108,15,22,246,1,9,7,124,C++,None,PyTorch,Apache-2.0,2023-04-05,2023-08-17,134,False,5785,206,0,189.6,63,True,True,False,True,True,False,False,True,False,False,Excellent,0.636,npm,N/A,CPU+GPU,Replicate,42.1
R00002,micro-infer-py,wandb,Audio & Speech,Speech Recognition,niche,231,36,9,3,26,0,0,1,10,Python,Zig|Rust,None/Custom,Apache-2.0,2019-04-06,2020-06-05,426,False,774,26,3,124.4,242,False,True,False,False,False,False,False,False,True,False,Good,0.998,conda,3.9+,CPU,Replicate,21.8
R00003,easy-token-lib,weaviate,Audio & Speech,Music Generation,popular,7270,2346,204,156,1366,7,204,36,252,C++,None,PyTorch,GPL-3.0,2022-07-08,2024-02-04,576,False,26555,3147,7,243.0,435,True,True,True,True,False,False,True,True,False,True,Poor,0.675,source-only,N/A,CPU+GPU,Replicate,62.4
R00004,deep-graph-craft,research-lab-27,Audio & Speech,Text-to-Speech,niche,374,58,11,4,49,0,0,1,10,Java,None,PyTorch,MIT,2020-08-06,2022-11-24,840,False,2068,256,16,281.3,182,False,True,False,False,False,False,False,True,False,False,Poor,0.674,npm,N/A,CUDA GPU,Replicate,32.1
R00005,MMT,indie-dev-4,AI Safety & Interpretability,Guardrails,new,13,0,0,3,30,5,135,2,60,Java,None,None/Custom,Apache-2.0,2021-03-16,2021-05-08,53,False,15,18,0,100.0,1607,True,True,False,False,False,False,False,False,False,False,Average,0.659,cargo,N/A,AMD ROCm,Azure,29.3
R00006,poly-serve-box,research-lab-13,Generative AI,Diffusion Models,niche,271,56,10,2,12,1,11,4,63,Python,None,Flax,LGPL-3.0,2018-08-20,2024-03-12,2031,False,828,55,35,113.2,387,True,True,False,False,True,False,True,False,False,True,Good,0.656,docker-only,3.9+,AMD ROCm,Together AI,44.5
R00007,GRYX,indie-dev-42,MLOps & Infrastructure,Pipeline Orchestration,moderate,2523,734,58,49,612,4,31,16,254,Python,Go,PyTorch,Apache-2.0,2022-07-14,2024-09-15,794,False,14837,621,7,317.6,20,False,True,True,True,False,False,False,False,True,False,Average,0.772,npm,3.12+,CUDA GPU,Modal,41.2
R00008,merge-flow,mlflow,MLOps & Infrastructure,Model Serving,moderate,1525,507,49,17,114,3,37,4,186,Python,Rust|R|Zig,CUDA,MIT,2022-05-23,2024-11-20,912,False,858,42,7,176.8,226,True,True,False,True,True,False,False,True,True,False,Good,0.721,conda,3.12+,CPU+GPU,AWS,47.4
R00009,CYH,indie-dev-64,Large Language Models,Evaluation & Benchmarks,moderate,1620,151,71,27,137,2,41,10,297,Java,None,PyTorch,MIT,2020-05-25,2021-09-04,467,False,19395,1914,5,108.2,276,True,False,False,True,False,False,False,False,False,False,Good,0.858,pip,N/A,CPU,Hugging Face,36.3
R00010,fast-grad,startup-38,AI Safety & Interpretability,Guardrails,moderate,1821,461,20,19,197,4,58,6,35,Python,C++,JAX,BSD-3-Clause,2020-12-15,2021-12-02,352,False,2188,308,2,138.4,325,True,True,False,True,False,False,False,False,False,False,Good,0.803,cargo,3.10+,Multi-GPU,None,44.9
R00011,trainspark,indie-dev-20,Reinforcement Learning,Environments & Simulators,niche,301,62,8,5,32,1,27,4,70,Python,None,JAX,MIT,2023-06-07,2023-09-19,104,False,379,50,2,228.8,655,False,True,True,True,True,True,False,True,False,False,Missing,0.847,pip,3.12+,CPU+GPU,Together AI,31.2
